"","YEAR","SIDE_QUAD","SITE_TRANSECT","SCIENTIFIC_NAME","OCC"
"36",2014,"20_O","AQUE_1","Abietinaria spp.",0
"37",2015,"20_O","AQUE_1","Abietinaria spp.",0
"38",2016,"20_O","AQUE_1","Abietinaria spp.",0
"39",2017,"20_O","AQUE_1","Abietinaria spp.",0
"40",2018,"20_O","AQUE_1","Abietinaria spp.",0
"41",2019,"20_O","AQUE_1","Abietinaria spp.",0
"42",2020,"20_O","AQUE_1","Abietinaria spp.",0
"43",2021,"20_O","AQUE_1","Abietinaria spp.",0
"44",2022,"20_O","AQUE_1","Abietinaria spp.",0
"45",2001,"40_I","AQUE_1","Abietinaria spp.",0
"46",2002,"40_I","AQUE_1","Abietinaria spp.",0
"47",2003,"40_I","AQUE_1","Abietinaria spp.",0
"48",2004,"40_I","AQUE_1","Abietinaria spp.",0
"49",2005,"40_I","AQUE_1","Abietinaria spp.",0
"50",2006,"40_I","AQUE_1","Abietinaria spp.",0
"51",2007,"40_I","AQUE_1","Abietinaria spp.",0
"52",2008,"40_I","AQUE_1","Abietinaria spp.",0
"53",2009,"40_I","AQUE_1","Abietinaria spp.",0
"54",2010,"40_I","AQUE_1","Abietinaria spp.",0
"55",2011,"40_I","AQUE_1","Abietinaria spp.",0
"56",2012,"40_I","AQUE_1","Abietinaria spp.",0
"57",2013,"40_I","AQUE_1","Abietinaria spp.",0
"58",2014,"40_I","AQUE_1","Abietinaria spp.",0
"59",2015,"40_I","AQUE_1","Abietinaria spp.",0
"60",2016,"40_I","AQUE_1","Abietinaria spp.",0
"61",2017,"40_I","AQUE_1","Abietinaria spp.",0
"62",2018,"40_I","AQUE_1","Abietinaria spp.",0
"63",2019,"40_I","AQUE_1","Abietinaria spp.",0
"64",2020,"40_I","AQUE_1","Abietinaria spp.",0
"65",2021,"40_I","AQUE_1","Abietinaria spp.",0
"66",2022,"40_I","AQUE_1","Abietinaria spp.",0
"67",2001,"40_O","AQUE_1","Abietinaria spp.",0
"68",2002,"40_O","AQUE_1","Abietinaria spp.",0
"69",2003,"40_O","AQUE_1","Abietinaria spp.",0
"70",2004,"40_O","AQUE_1","Abietinaria spp.",0
"71",2005,"40_O","AQUE_1","Abietinaria spp.",0
"72",2006,"40_O","AQUE_1","Abietinaria spp.",0
"73",2007,"40_O","AQUE_1","Abietinaria spp.",0
"74",2008,"40_O","AQUE_1","Abietinaria spp.",0
"75",2009,"40_O","AQUE_1","Abietinaria spp.",0
"76",2010,"40_O","AQUE_1","Abietinaria spp.",0
"77",2011,"40_O","AQUE_1","Abietinaria spp.",0
"78",2012,"40_O","AQUE_1","Abietinaria spp.",0
"79",2013,"40_O","AQUE_1","Abietinaria spp.",0
"80",2014,"40_O","AQUE_1","Abietinaria spp.",0
"81",2015,"40_O","AQUE_1","Abietinaria spp.",0
"82",2016,"40_O","AQUE_1","Abietinaria spp.",0
"83",2017,"40_O","AQUE_1","Abietinaria spp.",0
"84",2018,"40_O","AQUE_1","Abietinaria spp.",0
"85",2019,"40_O","AQUE_1","Abietinaria spp.",0
"86",2020,"40_O","AQUE_1","Abietinaria spp.",0
"87",2021,"40_O","AQUE_1","Abietinaria spp.",0
"88",2022,"40_O","AQUE_1","Abietinaria spp.",0
"89",2001,"20_I","AQUE_1","Acanthancora cyanocrypta",0
"90",2002,"20_I","AQUE_1","Acanthancora cyanocrypta",0
"91",2003,"20_I","AQUE_1","Acanthancora cyanocrypta",0
"92",2004,"20_I","AQUE_1","Acanthancora cyanocrypta",0
"93",2005,"20_I","AQUE_1","Acanthancora cyanocrypta",0
"94",2006,"20_I","AQUE_1","Acanthancora cyanocrypta",0
"95",2007,"20_I","AQUE_1","Acanthancora cyanocrypta",0
"96",2008,"20_I","AQUE_1","Acanthancora cyanocrypta",0
"97",2009,"20_I","AQUE_1","Acanthancora cyanocrypta",0
"98",2010,"20_I","AQUE_1","Acanthancora cyanocrypta",0
"99",2011,"20_I","AQUE_1","Acanthancora cyanocrypta",0
"100",2012,"20_I","AQUE_1","Acanthancora cyanocrypta",0
"101",2013,"20_I","AQUE_1","Acanthancora cyanocrypta",0
"102",2014,"20_I","AQUE_1","Acanthancora cyanocrypta",0
"103",2015,"20_I","AQUE_1","Acanthancora cyanocrypta",0
"104",2016,"20_I","AQUE_1","Acanthancora cyanocrypta",0
"105",2017,"20_I","AQUE_1","Acanthancora cyanocrypta",0
"106",2018,"20_I","AQUE_1","Acanthancora cyanocrypta",0
"107",2019,"20_I","AQUE_1","Acanthancora cyanocrypta",0
"108",2020,"20_I","AQUE_1","Acanthancora cyanocrypta",0
"109",2021,"20_I","AQUE_1","Acanthancora cyanocrypta",0
"110",2022,"20_I","AQUE_1","Acanthancora cyanocrypta",0
"111",2001,"20_O","AQUE_1","Acanthancora cyanocrypta",0
"112",2002,"20_O","AQUE_1","Acanthancora cyanocrypta",0
"113",2003,"20_O","AQUE_1","Acanthancora cyanocrypta",0
"114",2004,"20_O","AQUE_1","Acanthancora cyanocrypta",0
"115",2005,"20_O","AQUE_1","Acanthancora cyanocrypta",0
"116",2006,"20_O","AQUE_1","Acanthancora cyanocrypta",0
"117",2007,"20_O","AQUE_1","Acanthancora cyanocrypta",0
"118",2008,"20_O","AQUE_1","Acanthancora cyanocrypta",0
"119",2009,"20_O","AQUE_1","Acanthancora cyanocrypta",0
"120",2010,"20_O","AQUE_1","Acanthancora cyanocrypta",0
"121",2011,"20_O","AQUE_1","Acanthancora cyanocrypta",0
"122",2012,"20_O","AQUE_1","Acanthancora cyanocrypta",0
"123",2013,"20_O","AQUE_1","Acanthancora cyanocrypta",0
"124",2014,"20_O","AQUE_1","Acanthancora cyanocrypta",0
"125",2015,"20_O","AQUE_1","Acanthancora cyanocrypta",0
"126",2016,"20_O","AQUE_1","Acanthancora cyanocrypta",0
"127",2017,"20_O","AQUE_1","Acanthancora cyanocrypta",0
"128",2018,"20_O","AQUE_1","Acanthancora cyanocrypta",0
"129",2019,"20_O","AQUE_1","Acanthancora cyanocrypta",0
"130",2020,"20_O","AQUE_1","Acanthancora cyanocrypta",0
"131",2021,"20_O","AQUE_1","Acanthancora cyanocrypta",0
"132",2022,"20_O","AQUE_1","Acanthancora cyanocrypta",0
"133",2001,"40_I","AQUE_1","Acanthancora cyanocrypta",0
"134",2002,"40_I","AQUE_1","Acanthancora cyanocrypta",0
"135",2003,"40_I","AQUE_1","Acanthancora cyanocrypta",0
"136",2004,"40_I","AQUE_1","Acanthancora cyanocrypta",0
"137",2005,"40_I","AQUE_1","Acanthancora cyanocrypta",0
"138",2006,"40_I","AQUE_1","Acanthancora cyanocrypta",0
"139",2007,"40_I","AQUE_1","Acanthancora cyanocrypta",0
"140",2008,"40_I","AQUE_1","Acanthancora cyanocrypta",0
"141",2009,"40_I","AQUE_1","Acanthancora cyanocrypta",0
"142",2010,"40_I","AQUE_1","Acanthancora cyanocrypta",0
"143",2011,"40_I","AQUE_1","Acanthancora cyanocrypta",0
"144",2012,"40_I","AQUE_1","Acanthancora cyanocrypta",0
"145",2013,"40_I","AQUE_1","Acanthancora cyanocrypta",0
"146",2014,"40_I","AQUE_1","Acanthancora cyanocrypta",0
"147",2015,"40_I","AQUE_1","Acanthancora cyanocrypta",0
"148",2016,"40_I","AQUE_1","Acanthancora cyanocrypta",0
"149",2017,"40_I","AQUE_1","Acanthancora cyanocrypta",0
"150",2018,"40_I","AQUE_1","Acanthancora cyanocrypta",0
"151",2019,"40_I","AQUE_1","Acanthancora cyanocrypta",0
"152",2020,"40_I","AQUE_1","Acanthancora cyanocrypta",0
"153",2021,"40_I","AQUE_1","Acanthancora cyanocrypta",0
"154",2022,"40_I","AQUE_1","Acanthancora cyanocrypta",0
"155",2001,"40_O","AQUE_1","Acanthancora cyanocrypta",0
"156",2002,"40_O","AQUE_1","Acanthancora cyanocrypta",0
"157",2003,"40_O","AQUE_1","Acanthancora cyanocrypta",0
"158",2004,"40_O","AQUE_1","Acanthancora cyanocrypta",0
"159",2005,"40_O","AQUE_1","Acanthancora cyanocrypta",0
"160",2006,"40_O","AQUE_1","Acanthancora cyanocrypta",0
"161",2007,"40_O","AQUE_1","Acanthancora cyanocrypta",0
"162",2008,"40_O","AQUE_1","Acanthancora cyanocrypta",0
"163",2009,"40_O","AQUE_1","Acanthancora cyanocrypta",0
"164",2010,"40_O","AQUE_1","Acanthancora cyanocrypta",0
"165",2011,"40_O","AQUE_1","Acanthancora cyanocrypta",0
"166",2012,"40_O","AQUE_1","Acanthancora cyanocrypta",0
"167",2013,"40_O","AQUE_1","Acanthancora cyanocrypta",0
"168",2014,"40_O","AQUE_1","Acanthancora cyanocrypta",0
"169",2015,"40_O","AQUE_1","Acanthancora cyanocrypta",0
"170",2016,"40_O","AQUE_1","Acanthancora cyanocrypta",0
"171",2017,"40_O","AQUE_1","Acanthancora cyanocrypta",0
"172",2018,"40_O","AQUE_1","Acanthancora cyanocrypta",0
"173",2019,"40_O","AQUE_1","Acanthancora cyanocrypta",0
"174",2020,"40_O","AQUE_1","Acanthancora cyanocrypta",0
"175",2021,"40_O","AQUE_1","Acanthancora cyanocrypta",0
"176",2022,"40_O","AQUE_1","Acanthancora cyanocrypta",0
"177",2001,"20_I","AQUE_1","Acrosorium ciliolatum",1
"178",2002,"20_I","AQUE_1","Acrosorium ciliolatum",0
"179",2003,"20_I","AQUE_1","Acrosorium ciliolatum",0
"180",2004,"20_I","AQUE_1","Acrosorium ciliolatum",0
"181",2005,"20_I","AQUE_1","Acrosorium ciliolatum",0
"182",2006,"20_I","AQUE_1","Acrosorium ciliolatum",0
"183",2007,"20_I","AQUE_1","Acrosorium ciliolatum",0
"184",2008,"20_I","AQUE_1","Acrosorium ciliolatum",0
"185",2009,"20_I","AQUE_1","Acrosorium ciliolatum",0
"186",2010,"20_I","AQUE_1","Acrosorium ciliolatum",0
"187",2011,"20_I","AQUE_1","Acrosorium ciliolatum",0
"188",2012,"20_I","AQUE_1","Acrosorium ciliolatum",0
"189",2013,"20_I","AQUE_1","Acrosorium ciliolatum",1
"190",2014,"20_I","AQUE_1","Acrosorium ciliolatum",0
"191",2015,"20_I","AQUE_1","Acrosorium ciliolatum",0
"192",2016,"20_I","AQUE_1","Acrosorium ciliolatum",1
"193",2017,"20_I","AQUE_1","Acrosorium ciliolatum",0
"194",2018,"20_I","AQUE_1","Acrosorium ciliolatum",0
"195",2019,"20_I","AQUE_1","Acrosorium ciliolatum",1
"196",2020,"20_I","AQUE_1","Acrosorium ciliolatum",0
"197",2021,"20_I","AQUE_1","Acrosorium ciliolatum",0
"198",2022,"20_I","AQUE_1","Acrosorium ciliolatum",0
"199",2001,"20_O","AQUE_1","Acrosorium ciliolatum",1
"200",2002,"20_O","AQUE_1","Acrosorium ciliolatum",0
"201",2003,"20_O","AQUE_1","Acrosorium ciliolatum",0
"202",2004,"20_O","AQUE_1","Acrosorium ciliolatum",0
"203",2005,"20_O","AQUE_1","Acrosorium ciliolatum",0
"204",2006,"20_O","AQUE_1","Acrosorium ciliolatum",0
"205",2007,"20_O","AQUE_1","Acrosorium ciliolatum",0
"206",2008,"20_O","AQUE_1","Acrosorium ciliolatum",0
"207",2009,"20_O","AQUE_1","Acrosorium ciliolatum",0
"208",2010,"20_O","AQUE_1","Acrosorium ciliolatum",0
"209",2011,"20_O","AQUE_1","Acrosorium ciliolatum",0
"210",2012,"20_O","AQUE_1","Acrosorium ciliolatum",0
"211",2013,"20_O","AQUE_1","Acrosorium ciliolatum",1
"212",2014,"20_O","AQUE_1","Acrosorium ciliolatum",0
"213",2015,"20_O","AQUE_1","Acrosorium ciliolatum",0
"214",2016,"20_O","AQUE_1","Acrosorium ciliolatum",1
"215",2017,"20_O","AQUE_1","Acrosorium ciliolatum",0
"216",2018,"20_O","AQUE_1","Acrosorium ciliolatum",0
"217",2019,"20_O","AQUE_1","Acrosorium ciliolatum",1
"218",2020,"20_O","AQUE_1","Acrosorium ciliolatum",0
"219",2021,"20_O","AQUE_1","Acrosorium ciliolatum",0
"220",2022,"20_O","AQUE_1","Acrosorium ciliolatum",0
"221",2001,"40_I","AQUE_1","Acrosorium ciliolatum",1
"222",2002,"40_I","AQUE_1","Acrosorium ciliolatum",0
"223",2003,"40_I","AQUE_1","Acrosorium ciliolatum",0
"224",2004,"40_I","AQUE_1","Acrosorium ciliolatum",0
"225",2005,"40_I","AQUE_1","Acrosorium ciliolatum",0
"226",2006,"40_I","AQUE_1","Acrosorium ciliolatum",0
"227",2007,"40_I","AQUE_1","Acrosorium ciliolatum",0
"228",2008,"40_I","AQUE_1","Acrosorium ciliolatum",0
"229",2009,"40_I","AQUE_1","Acrosorium ciliolatum",0
"230",2010,"40_I","AQUE_1","Acrosorium ciliolatum",1
"231",2011,"40_I","AQUE_1","Acrosorium ciliolatum",0
"232",2012,"40_I","AQUE_1","Acrosorium ciliolatum",0
"233",2013,"40_I","AQUE_1","Acrosorium ciliolatum",0
"234",2014,"40_I","AQUE_1","Acrosorium ciliolatum",0
"235",2015,"40_I","AQUE_1","Acrosorium ciliolatum",0
"236",2016,"40_I","AQUE_1","Acrosorium ciliolatum",1
"237",2017,"40_I","AQUE_1","Acrosorium ciliolatum",1
"238",2018,"40_I","AQUE_1","Acrosorium ciliolatum",0
"239",2019,"40_I","AQUE_1","Acrosorium ciliolatum",0
"240",2020,"40_I","AQUE_1","Acrosorium ciliolatum",0
"241",2021,"40_I","AQUE_1","Acrosorium ciliolatum",0
"242",2022,"40_I","AQUE_1","Acrosorium ciliolatum",0
"243",2001,"40_O","AQUE_1","Acrosorium ciliolatum",1
"244",2002,"40_O","AQUE_1","Acrosorium ciliolatum",0
"245",2003,"40_O","AQUE_1","Acrosorium ciliolatum",0
"246",2004,"40_O","AQUE_1","Acrosorium ciliolatum",0
"247",2005,"40_O","AQUE_1","Acrosorium ciliolatum",0
"248",2006,"40_O","AQUE_1","Acrosorium ciliolatum",0
"249",2007,"40_O","AQUE_1","Acrosorium ciliolatum",0
"250",2008,"40_O","AQUE_1","Acrosorium ciliolatum",0
"251",2009,"40_O","AQUE_1","Acrosorium ciliolatum",0
"252",2010,"40_O","AQUE_1","Acrosorium ciliolatum",1
"253",2011,"40_O","AQUE_1","Acrosorium ciliolatum",0
"254",2012,"40_O","AQUE_1","Acrosorium ciliolatum",0
"255",2013,"40_O","AQUE_1","Acrosorium ciliolatum",0
"256",2014,"40_O","AQUE_1","Acrosorium ciliolatum",0
"257",2015,"40_O","AQUE_1","Acrosorium ciliolatum",0
"258",2016,"40_O","AQUE_1","Acrosorium ciliolatum",1
"259",2017,"40_O","AQUE_1","Acrosorium ciliolatum",0
"260",2018,"40_O","AQUE_1","Acrosorium ciliolatum",0
"261",2019,"40_O","AQUE_1","Acrosorium ciliolatum",0
"262",2020,"40_O","AQUE_1","Acrosorium ciliolatum",0
"263",2021,"40_O","AQUE_1","Acrosorium ciliolatum",0
"264",2022,"40_O","AQUE_1","Acrosorium ciliolatum",0
"265",2001,"20_I","AQUE_1","Actinostella californica",0
"266",2002,"20_I","AQUE_1","Actinostella californica",0
"267",2003,"20_I","AQUE_1","Actinostella californica",0
"268",2004,"20_I","AQUE_1","Actinostella californica",0
"269",2005,"20_I","AQUE_1","Actinostella californica",0
"270",2006,"20_I","AQUE_1","Actinostella californica",0
"271",2007,"20_I","AQUE_1","Actinostella californica",0
"272",2008,"20_I","AQUE_1","Actinostella californica",0
"273",2009,"20_I","AQUE_1","Actinostella californica",0
"274",2010,"20_I","AQUE_1","Actinostella californica",1
"275",2011,"20_I","AQUE_1","Actinostella californica",0
"276",2012,"20_I","AQUE_1","Actinostella californica",0
"277",2013,"20_I","AQUE_1","Actinostella californica",0
"278",2014,"20_I","AQUE_1","Actinostella californica",0
"279",2015,"20_I","AQUE_1","Actinostella californica",1
"280",2016,"20_I","AQUE_1","Actinostella californica",1
"281",2017,"20_I","AQUE_1","Actinostella californica",0
"282",2018,"20_I","AQUE_1","Actinostella californica",1
"283",2019,"20_I","AQUE_1","Actinostella californica",0
"284",2020,"20_I","AQUE_1","Actinostella californica",0
"285",2021,"20_I","AQUE_1","Actinostella californica",0
"286",2022,"20_I","AQUE_1","Actinostella californica",1
"287",2001,"20_O","AQUE_1","Actinostella californica",0
"288",2002,"20_O","AQUE_1","Actinostella californica",0
"289",2003,"20_O","AQUE_1","Actinostella californica",0
"290",2004,"20_O","AQUE_1","Actinostella californica",0
"291",2005,"20_O","AQUE_1","Actinostella californica",0
"292",2006,"20_O","AQUE_1","Actinostella californica",0
"293",2007,"20_O","AQUE_1","Actinostella californica",1
"294",2008,"20_O","AQUE_1","Actinostella californica",0
"295",2009,"20_O","AQUE_1","Actinostella californica",0
"296",2010,"20_O","AQUE_1","Actinostella californica",0
"297",2011,"20_O","AQUE_1","Actinostella californica",0
"298",2012,"20_O","AQUE_1","Actinostella californica",0
"299",2013,"20_O","AQUE_1","Actinostella californica",0
"300",2014,"20_O","AQUE_1","Actinostella californica",0
"301",2015,"20_O","AQUE_1","Actinostella californica",0
"302",2016,"20_O","AQUE_1","Actinostella californica",1
"303",2017,"20_O","AQUE_1","Actinostella californica",0
"304",2018,"20_O","AQUE_1","Actinostella californica",0
"305",2019,"20_O","AQUE_1","Actinostella californica",0
"306",2020,"20_O","AQUE_1","Actinostella californica",0
"307",2021,"20_O","AQUE_1","Actinostella californica",0
"308",2022,"20_O","AQUE_1","Actinostella californica",0
"309",2001,"40_I","AQUE_1","Actinostella californica",0
"310",2002,"40_I","AQUE_1","Actinostella californica",0
"311",2003,"40_I","AQUE_1","Actinostella californica",0
"312",2004,"40_I","AQUE_1","Actinostella californica",0
"313",2005,"40_I","AQUE_1","Actinostella californica",0
"314",2006,"40_I","AQUE_1","Actinostella californica",0
"315",2007,"40_I","AQUE_1","Actinostella californica",1
"316",2008,"40_I","AQUE_1","Actinostella californica",0
"317",2009,"40_I","AQUE_1","Actinostella californica",0
"318",2010,"40_I","AQUE_1","Actinostella californica",0
"319",2011,"40_I","AQUE_1","Actinostella californica",0
"320",2012,"40_I","AQUE_1","Actinostella californica",0
"321",2013,"40_I","AQUE_1","Actinostella californica",0
"322",2014,"40_I","AQUE_1","Actinostella californica",0
"323",2015,"40_I","AQUE_1","Actinostella californica",0
"324",2016,"40_I","AQUE_1","Actinostella californica",0
"325",2017,"40_I","AQUE_1","Actinostella californica",0
"326",2018,"40_I","AQUE_1","Actinostella californica",0
"327",2019,"40_I","AQUE_1","Actinostella californica",0
"328",2020,"40_I","AQUE_1","Actinostella californica",0
"329",2021,"40_I","AQUE_1","Actinostella californica",0
"330",2022,"40_I","AQUE_1","Actinostella californica",0
"331",2001,"40_O","AQUE_1","Actinostella californica",0
"332",2002,"40_O","AQUE_1","Actinostella californica",0
"333",2003,"40_O","AQUE_1","Actinostella californica",0
"334",2004,"40_O","AQUE_1","Actinostella californica",0
"335",2005,"40_O","AQUE_1","Actinostella californica",1
"336",2006,"40_O","AQUE_1","Actinostella californica",0
"337",2007,"40_O","AQUE_1","Actinostella californica",0
"338",2008,"40_O","AQUE_1","Actinostella californica",1
"339",2009,"40_O","AQUE_1","Actinostella californica",0
"340",2010,"40_O","AQUE_1","Actinostella californica",0
"341",2011,"40_O","AQUE_1","Actinostella californica",0
"342",2012,"40_O","AQUE_1","Actinostella californica",0
"343",2013,"40_O","AQUE_1","Actinostella californica",1
"344",2014,"40_O","AQUE_1","Actinostella californica",0
"345",2015,"40_O","AQUE_1","Actinostella californica",0
"346",2016,"40_O","AQUE_1","Actinostella californica",1
"347",2017,"40_O","AQUE_1","Actinostella californica",0
"348",2018,"40_O","AQUE_1","Actinostella californica",0
"349",2019,"40_O","AQUE_1","Actinostella californica",0
"350",2020,"40_O","AQUE_1","Actinostella californica",0
"351",2021,"40_O","AQUE_1","Actinostella californica",0
"352",2022,"40_O","AQUE_1","Actinostella californica",0
"353",2001,"20_I","AQUE_1","Agalophenia spp. ",0
"354",2002,"20_I","AQUE_1","Agalophenia spp. ",0
"355",2003,"20_I","AQUE_1","Agalophenia spp. ",0
"356",2004,"20_I","AQUE_1","Agalophenia spp. ",0
"357",2005,"20_I","AQUE_1","Agalophenia spp. ",0
"358",2006,"20_I","AQUE_1","Agalophenia spp. ",0
"359",2007,"20_I","AQUE_1","Agalophenia spp. ",0
"360",2008,"20_I","AQUE_1","Agalophenia spp. ",0
"361",2009,"20_I","AQUE_1","Agalophenia spp. ",0
"362",2010,"20_I","AQUE_1","Agalophenia spp. ",0
"363",2011,"20_I","AQUE_1","Agalophenia spp. ",0
"364",2012,"20_I","AQUE_1","Agalophenia spp. ",0
"365",2013,"20_I","AQUE_1","Agalophenia spp. ",0
"366",2014,"20_I","AQUE_1","Agalophenia spp. ",0
"367",2015,"20_I","AQUE_1","Agalophenia spp. ",0
"368",2016,"20_I","AQUE_1","Agalophenia spp. ",0
"369",2017,"20_I","AQUE_1","Agalophenia spp. ",0
"370",2018,"20_I","AQUE_1","Agalophenia spp. ",0
"371",2019,"20_I","AQUE_1","Agalophenia spp. ",0
"372",2020,"20_I","AQUE_1","Agalophenia spp. ",0
"373",2021,"20_I","AQUE_1","Agalophenia spp. ",0
"374",2022,"20_I","AQUE_1","Agalophenia spp. ",0
"375",2001,"20_O","AQUE_1","Agalophenia spp. ",0
"376",2002,"20_O","AQUE_1","Agalophenia spp. ",0
"377",2003,"20_O","AQUE_1","Agalophenia spp. ",0
"378",2004,"20_O","AQUE_1","Agalophenia spp. ",0
"379",2005,"20_O","AQUE_1","Agalophenia spp. ",0
"380",2006,"20_O","AQUE_1","Agalophenia spp. ",0
"381",2007,"20_O","AQUE_1","Agalophenia spp. ",0
"382",2008,"20_O","AQUE_1","Agalophenia spp. ",0
"383",2009,"20_O","AQUE_1","Agalophenia spp. ",0
"384",2010,"20_O","AQUE_1","Agalophenia spp. ",0
"385",2011,"20_O","AQUE_1","Agalophenia spp. ",0
"386",2012,"20_O","AQUE_1","Agalophenia spp. ",0
"387",2013,"20_O","AQUE_1","Agalophenia spp. ",0
"388",2014,"20_O","AQUE_1","Agalophenia spp. ",0
"389",2015,"20_O","AQUE_1","Agalophenia spp. ",0
"390",2016,"20_O","AQUE_1","Agalophenia spp. ",0
"391",2017,"20_O","AQUE_1","Agalophenia spp. ",0
"392",2018,"20_O","AQUE_1","Agalophenia spp. ",0
"393",2019,"20_O","AQUE_1","Agalophenia spp. ",0
"394",2020,"20_O","AQUE_1","Agalophenia spp. ",0
"395",2021,"20_O","AQUE_1","Agalophenia spp. ",0
"396",2022,"20_O","AQUE_1","Agalophenia spp. ",0
"397",2001,"40_I","AQUE_1","Agalophenia spp. ",0
"398",2002,"40_I","AQUE_1","Agalophenia spp. ",0
"399",2003,"40_I","AQUE_1","Agalophenia spp. ",0
"400",2004,"40_I","AQUE_1","Agalophenia spp. ",0
"401",2005,"40_I","AQUE_1","Agalophenia spp. ",0
"402",2006,"40_I","AQUE_1","Agalophenia spp. ",0
"403",2007,"40_I","AQUE_1","Agalophenia spp. ",0
"404",2008,"40_I","AQUE_1","Agalophenia spp. ",0
"405",2009,"40_I","AQUE_1","Agalophenia spp. ",0
"406",2010,"40_I","AQUE_1","Agalophenia spp. ",0
"407",2011,"40_I","AQUE_1","Agalophenia spp. ",0
"408",2012,"40_I","AQUE_1","Agalophenia spp. ",0
"409",2013,"40_I","AQUE_1","Agalophenia spp. ",0
"410",2014,"40_I","AQUE_1","Agalophenia spp. ",0
"411",2015,"40_I","AQUE_1","Agalophenia spp. ",0
"412",2016,"40_I","AQUE_1","Agalophenia spp. ",0
"413",2017,"40_I","AQUE_1","Agalophenia spp. ",0
"414",2018,"40_I","AQUE_1","Agalophenia spp. ",0
"415",2019,"40_I","AQUE_1","Agalophenia spp. ",0
"416",2020,"40_I","AQUE_1","Agalophenia spp. ",0
"417",2021,"40_I","AQUE_1","Agalophenia spp. ",0
"418",2022,"40_I","AQUE_1","Agalophenia spp. ",0
"419",2001,"40_O","AQUE_1","Agalophenia spp. ",0
"420",2002,"40_O","AQUE_1","Agalophenia spp. ",0
"421",2003,"40_O","AQUE_1","Agalophenia spp. ",0
"422",2004,"40_O","AQUE_1","Agalophenia spp. ",0
"423",2005,"40_O","AQUE_1","Agalophenia spp. ",0
"424",2006,"40_O","AQUE_1","Agalophenia spp. ",0
"425",2007,"40_O","AQUE_1","Agalophenia spp. ",0
"426",2008,"40_O","AQUE_1","Agalophenia spp. ",0
"427",2009,"40_O","AQUE_1","Agalophenia spp. ",0
"428",2010,"40_O","AQUE_1","Agalophenia spp. ",0
"429",2011,"40_O","AQUE_1","Agalophenia spp. ",0
"430",2012,"40_O","AQUE_1","Agalophenia spp. ",0
"431",2013,"40_O","AQUE_1","Agalophenia spp. ",0
"432",2014,"40_O","AQUE_1","Agalophenia spp. ",0
"433",2015,"40_O","AQUE_1","Agalophenia spp. ",0
"434",2016,"40_O","AQUE_1","Agalophenia spp. ",0
"435",2017,"40_O","AQUE_1","Agalophenia spp. ",0
"436",2018,"40_O","AQUE_1","Agalophenia spp. ",0
"437",2019,"40_O","AQUE_1","Agalophenia spp. ",0
"438",2020,"40_O","AQUE_1","Agalophenia spp. ",0
"439",2021,"40_O","AQUE_1","Agalophenia spp. ",0
"440",2022,"40_O","AQUE_1","Agalophenia spp. ",0
"441",2001,"20_I","AQUE_1","Agardhiella subulata",0
"442",2002,"20_I","AQUE_1","Agardhiella subulata",0
"443",2003,"20_I","AQUE_1","Agardhiella subulata",0
"444",2004,"20_I","AQUE_1","Agardhiella subulata",0
"445",2005,"20_I","AQUE_1","Agardhiella subulata",0
