"","X","siteID","yearID","tot_turnover","gain","loss","jaccard","SITE_TRANS","YEAR","SITE","TRANSECT","DRY_GM2","DRY_GM2_l1","DRY_GM2_l2","DRY_GM2_l3","DRY_GM2_l4","DRY_GM2_l5","TEMP_C","TEMP_C_l1","TEMP_C_l2","TEMP_C_l3","TEMP_C_l4","TEMP_C_l5","chla","chla_l1","chla_l2","chla_l3","chla_l4","chla_l5"
"11",11,30,2,0.277777777777778,0.2,0.0625,0.722222222222222,"NAPL_8",2001,"NAPL",8,0.386666666666667,0.193333333333333,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"12",12,1,3,0.4375,0.125,0.3125,0.5625,"ABUR_1",2002,"ABUR",1,736.161,1200.29666666667,NA,NA,NA,NA,15.052044892916,14.974332437276,NA,NA,NA,NA,2.75224508047104,1.40044438838959,NA,NA,NA,NA
"13",13,2,3,0.545454545454545,0.0909090909090909,0.444444444444444,0.454545454545455,"ABUR_2",2002,"ABUR",2,33.511,0.193333333333333,NA,NA,NA,NA,15.052044892916,14.974332437276,NA,NA,NA,NA,2.75224508047104,1.40044438838959,NA,NA,NA,NA
"14",14,3,3,0.470588235294118,0.0666666666666667,0.4,0.529411764705882,"AQUE_1",2002,"AQUE",1,1132.888,228.600333333333,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.896755027771,1.01066553592682,NA,NA,NA,NA
"15",15,4,3,0.25,0.111111111111111,0.117647058823529,0.75,"AQUE_2",2002,"AQUE",2,803.842,111.738,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.896755027771,1.01066553592682,NA,NA,NA,NA
"16",16,5,3,0.214285714285714,0.0769230769230769,0.125,0.785714285714286,"AQUE_3",2002,"AQUE",3,1506.914,45.6743333333333,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.896755027771,1.01066553592682,NA,NA,NA,NA
"17",17,6,3,0.238095238095238,0.15,0.0952380952380952,0.761904761904762,"AQUE_4",2002,"AQUE",4,544.867666666667,162.967,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.896755027771,1.01066553592682,NA,NA,NA,NA
"18",18,7,3,0.25,0.157894736842105,0.1,0.75,"AQUE_5",2002,"AQUE",5,901.826333333333,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.896755027771,1.01066553592682,NA,NA,NA,NA
"19",19,9,3,0.285714285714286,0.153846153846154,0.133333333333333,0.714285714285714,"BULL_1",2002,"BULL",1,340.901666666667,8.226,19.4226666666667,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.79447100162506,1.28298234939575,NA,NA,NA,NA
"20",20,10,3,0.266666666666667,0.111111111111111,0.166666666666667,0.733333333333333,"BULL_3",2002,"BULL",3,217.281,26.3306666666667,192.804666666667,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.79447100162506,1.28298234939575,NA,NA,NA,NA
"21",21,11,3,0.266666666666667,0.153846153846154,0.117647058823529,0.733333333333333,"BULL_6",2002,"BULL",6,54.63,0,78.0253333333333,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.79447100162506,1.28298234939575,NA,NA,NA,NA
"22",22,12,3,0.230769230769231,0.111111111111111,0.125,0.769230769230769,"GOLB_1",2002,"GOLB",1,619.993,963.171,NA,NA,NA,NA,15.5380956278891,14.9315781810036,NA,NA,NA,NA,1.99320063591003,1.50051236152649,NA,NA,NA,NA
"23",23,13,3,0.25,0.133333333333333,0.0909090909090909,0.75,"GOLB_2",2002,"GOLB",2,996.374333333333,548.241666666667,NA,NA,NA,NA,15.5380956278891,14.9315781810036,NA,NA,NA,NA,1.99320063591003,1.50051236152649,NA,NA,NA,NA
"24",24,14,3,0.285714285714286,0.142857142857143,0.125,0.714285714285714,"IVEE_1",2002,"IVEE",1,289.672666666667,129.815666666667,NA,NA,NA,NA,14.64239711736,14.7976948924731,NA,NA,NA,NA,1.72699732780456,1.37896013259888,NA,NA,NA,NA
"25",25,15,3,0.266666666666667,0.0909090909090909,0.153846153846154,0.733333333333333,"IVEE_2",2002,"IVEE",2,102.695,211.576666666667,NA,NA,NA,NA,14.64239711736,14.7976948924731,NA,NA,NA,NA,1.72699732780456,1.37896013259888,NA,NA,NA,NA
"26",26,21,3,0.272727272727273,0.19047619047619,0.05,0.727272727272727,"MOHK_1",2002,"MOHK",1,340.515,1109.07066666667,NA,NA,NA,NA,15.4827340746842,15.047315188172,NA,NA,NA,NA,2.75224508047104,1.40044438838959,NA,NA,NA,NA
"27",27,22,3,0.277777777777778,0.176470588235294,0.105263157894737,0.722222222222222,"MOHK_2",2002,"MOHK",2,1576.098,661.782,NA,NA,NA,NA,15.4827340746842,15.047315188172,NA,NA,NA,NA,2.75224508047104,1.40044438838959,NA,NA,NA,NA
"28",28,23,3,0.1875,0.117647058823529,0.0588235294117647,0.8125,"NAPL_1",2002,"NAPL",1,51.888,0,0,NA,NA,NA,15.1379521520147,14.9358938172043,NA,NA,NA,NA,1.70112910270691,1.20153725147247,NA,NA,NA,NA
"29",29,24,3,0.157894736842105,0.117647058823529,0,0.842105263157895,"NAPL_2",2002,"NAPL",2,84.5113333333333,0,0,NA,NA,NA,15.1379521520147,14.9358938172043,NA,NA,NA,NA,1.70112910270691,1.20153725147247,NA,NA,NA,NA
"30",30,25,3,0.266666666666667,0.142857142857143,0.117647058823529,0.733333333333333,"NAPL_3",2002,"NAPL",3,7.76033333333333,0,0,NA,NA,NA,15.1379521520147,14.9358938172043,NA,NA,NA,NA,1.70112910270691,1.20153725147247,NA,NA,NA,NA
"31",31,26,3,0.230769230769231,0.0769230769230769,0.133333333333333,0.769230769230769,"NAPL_4",2002,"NAPL",4,0.193333333333333,0,0,NA,NA,NA,15.1379521520147,14.9358938172043,NA,NA,NA,NA,1.70112910270691,1.20153725147247,NA,NA,NA,NA
"32",32,27,3,0.2,0.117647058823529,0.0666666666666667,0.8,"NAPL_5",2002,"NAPL",5,59.7273333333333,2.35533333333333,0,NA,NA,NA,15.1379521520147,14.9358938172043,NA,NA,NA,NA,1.70112910270691,1.20153725147247,NA,NA,NA,NA
"33",33,28,3,0.2,0.117647058823529,0.0769230769230769,0.8,"NAPL_6",2002,"NAPL",6,0.386666666666667,0,NA,NA,NA,NA,15.1379521520147,14.9358938172043,NA,NA,NA,NA,1.70112910270691,1.20153725147247,NA,NA,NA,NA
"34",34,29,3,0.1875,0.133333333333333,0,0.8125,"NAPL_7",2002,"NAPL",7,74.9756666666667,0,0,NA,NA,NA,15.1379521520147,14.9358938172043,NA,NA,NA,NA,1.70112910270691,1.20153725147247,NA,NA,NA,NA
"35",35,30,3,0.222222222222222,0.142857142857143,0.0909090909090909,0.777777777777778,"NAPL_8",2002,"NAPL",8,16.4083333333333,0.386666666666667,0.193333333333333,NA,NA,NA,15.1379521520147,14.9358938172043,NA,NA,NA,NA,1.70112910270691,1.20153725147247,NA,NA,NA,NA
"36",36,1,4,0.538461538461538,0.153846153846154,0.384615384615385,0.461538461538462,"ABUR_1",2003,"ABUR",1,54.208,736.161,1200.29666666667,NA,NA,NA,15.2241137585569,13.1596016142666,15.052044892916,14.974332437276,NA,NA,4.21713842948278,3.10494037866592,2.75224508047104,1.40044438838959,NA,NA
"37",37,2,4,0.714285714285714,0.25,0.444444444444444,0.285714285714286,"ABUR_2",2003,"ABUR",2,0,33.511,0.193333333333333,NA,NA,NA,15.2241137585569,13.1596016142666,15.052044892916,14.974332437276,NA,NA,4.21713842948278,3.10494037866592,2.75224508047104,1.40044438838959,NA,NA
"38",38,3,4,0.5,0.25,0.272727272727273,0.5,"AQUE_1",2003,"AQUE",1,1304.85433333333,1132.888,228.600333333333,NA,NA,NA,15.5012533287812,12.2438947709594,NA,NA,NA,NA,5.24064519008001,5.67468034227689,1.896755027771,1.01066553592682,NA,NA
"39",39,4,4,0.421052631578947,0.0625,0.333333333333333,0.578947368421053,"AQUE_2",2003,"AQUE",2,1293.034,803.842,111.738,NA,NA,NA,15.5012533287812,12.2438947709594,NA,NA,NA,NA,5.24064519008001,5.67468034227689,1.896755027771,1.01066553592682,NA,NA
"40",40,5,4,0.4,0.133333333333333,0.266666666666667,0.6,"AQUE_3",2003,"AQUE",3,1124.24,1506.914,45.6743333333333,NA,NA,NA,15.5012533287812,12.2438947709594,NA,NA,NA,NA,5.24064519008001,5.67468034227689,1.896755027771,1.01066553592682,NA,NA
"41",41,6,4,0.4,0.0555555555555556,0.333333333333333,0.6,"AQUE_4",2003,"AQUE",4,580.497,544.867666666667,162.967,NA,NA,NA,15.5012533287812,12.2438947709594,NA,NA,NA,NA,5.24064519008001,5.67468034227689,1.896755027771,1.01066553592682,NA,NA
"42",42,7,4,0.333333333333333,0.05,0.277777777777778,0.666666666666667,"AQUE_5",2003,"AQUE",5,872.367,901.826333333333,0,NA,NA,NA,15.5012533287812,12.2438947709594,NA,NA,NA,NA,5.24064519008001,5.67468034227689,1.896755027771,1.01066553592682,NA,NA
"43",43,8,4,0.375,0.0588235294117647,0.3125,0.625,"AQUE_6",2003,"AQUE",6,1093.08433333333,794.034,NA,NA,NA,NA,15.5012533287812,12.2438947709594,NA,NA,NA,NA,5.24064519008001,5.67468034227689,1.896755027771,1.01066553592682,NA,NA
"44",44,9,4,0.384615384615385,0.0909090909090909,0.266666666666667,0.615384615384615,"BULL_1",2003,"BULL",1,697.438333333333,340.901666666667,8.226,19.4226666666667,NA,NA,15.1325857104974,12.190013085891,NA,NA,NA,NA,4.17774037520091,3.92618444561958,1.79447100162506,1.28298234939575,NA,NA
"45",45,10,4,0.4,0.0833333333333333,0.294117647058824,0.6,"BULL_3",2003,"BULL",3,270.443333333333,217.281,26.3306666666667,192.804666666667,NA,NA,15.1325857104974,12.190013085891,NA,NA,NA,NA,4.17774037520091,3.92618444561958,1.79447100162506,1.28298234939575,NA,NA
"46",46,11,4,0.384615384615385,0.133333333333333,0.25,0.615384615384615,"BULL_6",2003,"BULL",6,790.211,54.63,0,78.0253333333333,NA,NA,15.1325857104974,12.190013085891,NA,NA,NA,NA,4.17774037520091,3.92618444561958,1.79447100162506,1.28298234939575,NA,NA
"47",47,12,4,0.4,0.0769230769230769,0.307692307692308,0.6,"GOLB_1",2003,"GOLB",1,794.499666666667,619.993,963.171,NA,NA,NA,16.3472824641749,13.7891657036956,15.5380956278891,14.9315781810036,NA,NA,5.31848378976186,3.09847751259804,1.99320063591003,1.50051236152649,NA,NA
"48",48,13,4,0.4375,0.125,0.31578947368421,0.5625,"GOLB_2",2003,"GOLB",2,1173.08666666667,996.374333333333,548.241666666667,NA,NA,NA,16.3472824641749,13.7891657036956,15.5380956278891,14.9315781810036,NA,NA,5.31848378976186,3.09847751259804,1.99320063591003,1.50051236152649,NA,NA
"49",49,14,4,0.411764705882353,0.142857142857143,0.25,0.588235294117647,"IVEE_1",2003,"IVEE",1,96.209,289.672666666667,129.815666666667,NA,NA,NA,14.8746912394741,13.6449265473433,14.64239711736,14.7976948924731,NA,NA,5.31728597482045,3.30150789022446,1.72699732780456,1.37896013259888,NA,NA
"50",50,15,4,0.416666666666667,0.153846153846154,0.25,0.583333333333333,"IVEE_2",2003,"IVEE",2,245.711333333333,102.695,211.576666666667,NA,NA,NA,14.8746912394741,13.6449265473433,14.64239711736,14.7976948924731,NA,NA,5.31728597482045,3.30150789022446,1.72699732780456,1.37896013259888,NA,NA
"51",51,21,4,0.636363636363636,0.130434782608696,0.5,0.363636363636364,"MOHK_1",2003,"MOHK",1,888.563333333333,340.515,1109.07066666667,NA,NA,NA,16.000582013691,13.9103954027125,15.4827340746842,15.047315188172,NA,NA,4.21713842948278,3.10494037866592,2.75224508047104,1.40044438838959,NA,NA
"52",52,22,4,0.4,0.0952380952380952,0.3125,0.6,"MOHK_2",2003,"MOHK",2,1721.83766666667,1576.098,661.782,NA,NA,NA,16.000582013691,13.9103954027125,15.4827340746842,15.047315188172,NA,NA,4.21713842948278,3.10494037866592,2.75224508047104,1.40044438838959,NA,NA
"53",53,23,4,0.285714285714286,0.111111111111111,0.166666666666667,0.714285714285714,"NAPL_1",2003,"NAPL",1,773.380666666667,51.888,0,0,NA,NA,15.9453929025957,13.5226593576348,15.1379521520147,14.9358938172043,NA,NA,4.79858473936716,5.07618963718414,1.70112910270691,1.20153725147247,NA,NA
"54",54,24,4,0.333333333333333,0.0526315789473684,0.277777777777778,0.666666666666667,"NAPL_2",2003,"NAPL",2,1136.98333333333,84.5113333333333,0,0,NA,NA,15.9453929025957,13.5226593576348,15.1379521520147,14.9358938172043,NA,NA,4.79858473936716,5.07618963718414,1.70112910270691,1.20153725147247,NA,NA
"55",55,25,4,0.25,0.133333333333333,0.111111111111111,0.75,"NAPL_3",2003,"NAPL",3,394.257333333333,7.76033333333333,0,0,NA,NA,15.9453929025957,13.5226593576348,15.1379521520147,14.9358938172043,NA,NA,4.79858473936716,5.07618963718414,1.70112910270691,1.20153725147247,NA,NA
"56",56,26,4,0.333333333333333,0.0714285714285714,0.230769230769231,0.666666666666667,"NAPL_4",2003,"NAPL",4,434.14,0.193333333333333,0,0,NA,NA,15.9453929025957,13.5226593576348,15.1379521520147,14.9358938172043,NA,NA,4.79858473936716,5.07618963718414,1.70112910270691,1.20153725147247,NA,NA
"57",57,27,4,0.3125,0.117647058823529,0.176470588235294,0.6875,"NAPL_5",2003,"NAPL",5,1027.53,59.7273333333333,2.35533333333333,0,NA,NA,15.9453929025957,13.5226593576348,15.1379521520147,14.9358938172043,NA,NA,4.79858473936716,5.07618963718414,1.70112910270691,1.20153725147247,NA,NA
"58",58,28,4,0.307692307692308,0.0833333333333333,0.214285714285714,0.692307692307692,"NAPL_6",2003,"NAPL",6,293.302333333333,0.386666666666667,0,NA,NA,NA,15.9453929025957,13.5226593576348,15.1379521520147,14.9358938172043,NA,NA,4.79858473936716,5.07618963718414,1.70112910270691,1.20153725147247,NA,NA
"59",59,29,4,0.25,0.0666666666666667,0.166666666666667,0.75,"NAPL_7",2003,"NAPL",7,595.595666666667,74.9756666666667,0,0,NA,NA,15.9453929025957,13.5226593576348,15.1379521520147,14.9358938172043,NA,NA,4.79858473936716,5.07618963718414,1.70112910270691,1.20153725147247,NA,NA
"60",60,30,4,0.3125,0.0555555555555556,0.235294117647059,0.6875,"NAPL_8",2003,"NAPL",8,292.142333333333,16.4083333333333,0.386666666666667,0.193333333333333,NA,NA,15.9453929025957,13.5226593576348,15.1379521520147,14.9358938172043,NA,NA,4.79858473936716,5.07618963718414,1.70112910270691,1.20153725147247,NA,NA
"61",61,1,5,0.777777777777778,0.555555555555556,0.222222222222222,0.222222222222222,"ABUR_1",2004,"ABUR",1,76.7946666666667,54.208,736.161,1200.29666666667,NA,NA,16.2185891901226,13.8153043849658,15.2241137585569,13.1596016142666,15.052044892916,14.974332437276,2.65101681152979,4.87239718437194,4.21713842948278,3.10494037866592,2.75224508047104,1.40044438838959
"62",62,2,5,0.857142857142857,0.428571428571429,0.428571428571429,0.142857142857143,"ABUR_2",2004,"ABUR",2,0,0,33.511,0.193333333333333,NA,NA,16.2185891901226,13.8153043849658,15.2241137585569,13.1596016142666,15.052044892916,14.974332437276,2.65101681152979,4.87239718437194,4.21713842948278,3.10494037866592,2.75224508047104,1.40044438838959
"63",63,3,5,0.416666666666667,0.333333333333333,0.0833333333333333,0.583333333333333,"AQUE_1",2004,"AQUE",1,527.844,1304.85433333333,1132.888,228.600333333333,NA,NA,16.4036309215449,13.5644194191344,15.5012533287812,12.2438947709594,NA,NA,1.93088181813558,5.91984206438065,5.24064519008001,5.67468034227689,1.896755027771,1.01066553592682
"64",64,4,5,0.444444444444444,0.294117647058824,0.142857142857143,0.555555555555556,"AQUE_2",2004,"AQUE",2,560.230333333333,1293.034,803.842,111.738,NA,NA,16.4036309215449,13.5644194191344,15.5012533287812,12.2438947709594,NA,NA,1.93088181813558,5.91984206438065,5.24064519008001,5.67468034227689,1.896755027771,1.01066553592682
"65",65,5,5,0.352941176470588,0.214285714285714,0.125,0.647058823529412,"AQUE_3",2004,"AQUE",3,659.41,1124.24,1506.914,45.6743333333333,NA,NA,16.4036309215449,13.5644194191344,15.5012533287812,12.2438947709594,NA,NA,1.93088181813558,5.91984206438065,5.24064519008001,5.67468034227689,1.896755027771,1.01066553592682
"66",66,6,5,0.368421052631579,0.235294117647059,0.125,0.631578947368421,"AQUE_4",2004,"AQUE",4,141.611,580.497,544.867666666667,162.967,NA,NA,16.4036309215449,13.5644194191344,15.5012533287812,12.2438947709594,NA,NA,1.93088181813558,5.91984206438065,5.24064519008001,5.67468034227689,1.896755027771,1.01066553592682
"67",67,7,5,0.375,0.2,0.166666666666667,0.625,"AQUE_5",2004,"AQUE",5,550.229,872.367,901.826333333333,0,NA,NA,16.4036309215449,13.5644194191344,15.5012533287812,12.2438947709594,NA,NA,1.93088181813558,5.91984206438065,5.24064519008001,5.67468034227689,1.896755027771,1.01066553592682
"68",68,8,5,0.357142857142857,0.25,0.117647058823529,0.642857142857143,"AQUE_6",2004,"AQUE",6,582.659,1093.08433333333,794.034,NA,NA,NA,16.4036309215449,13.5644194191344,15.5012533287812,12.2438947709594,NA,NA,1.93088181813558,5.91984206438065,5.24064519008001,5.67468034227689,1.896755027771,1.01066553592682
"69",69,9,5,0.4,0.25,0.142857142857143,0.6,"BULL_1",2004,"BULL",1,37.835,697.438333333333,340.901666666667,8.226,19.4226666666667,NA,16.3244572842059,13.4846055707051,15.1325857104974,12.190013085891,NA,NA,2.48801986376445,6.97815056641897,4.17774037520091,3.92618444561958,1.79447100162506,1.28298234939575
"70",70,10,5,0.461538461538462,0.294117647058824,0.153846153846154,0.538461538461538,"BULL_3",2004,"BULL",3,2.162,270.443333333333,217.281,26.3306666666667,192.804666666667,NA,16.3244572842059,13.4846055707051,15.1325857104974,12.190013085891,NA,NA,2.48801986376445,6.97815056641897,4.17774037520091,3.92618444561958,1.79447100162506,1.28298234939575
"71",71,11,5,0.352941176470588,0.2,0.133333333333333,0.647058823529412,"BULL_6",2004,"BULL",6,31.7793333333333,790.211,54.63,0,78.0253333333333,NA,16.3244572842059,13.4846055707051,15.1325857104974,12.190013085891,NA,NA,2.48801986376445,6.97815056641897,4.17774037520091,3.92618444561958,1.79447100162506,1.28298234939575
"72",72,12,5,0.384615384615385,0.222222222222222,0.153846153846154,0.615384615384615,"GOLB_1",2004,"GOLB",1,140.53,794.499666666667,619.993,963.171,NA,NA,17.1036697749381,14.1221637243736,16.3472824641749,13.7891657036956,15.5380956278891,14.9315781810036,2.13510616620382,6.4339454571406,5.31848378976186,3.09847751259804,1.99320063591003,1.50051236152649
"73",73,13,5,0.375,0.1875,0.176470588235294,0.625,"GOLB_2",2004,"GOLB",2,103.740666666667,1173.08666666667,996.374333333333,548.241666666667,NA,NA,17.1036697749381,14.1221637243736,16.3472824641749,13.7891657036956,15.5380956278891,14.9315781810036,2.13510616620382,6.4339454571406,5.31848378976186,3.09847751259804,1.99320063591003,1.50051236152649
"74",74,14,5,0.333333333333333,0.166666666666667,0.153846153846154,0.666666666666667,"IVEE_1",2004,"IVEE",1,73.587,96.209,289.672666666667,129.815666666667,NA,NA,16.13102371496,13.6106096241458,14.8746912394741,13.6449265473433,14.64239711736,14.7976948924731,1.98703823486964,6.15245201190313,5.31728597482045,3.30150789022446,1.72699732780456,1.37896013259888
"75",75,15,5,0.307692307692308,0.214285714285714,0.0833333333333333,0.692307692307692,"IVEE_2",2004,"IVEE",2,339.556666666667,245.711333333333,102.695,211.576666666667,NA,NA,16.13102371496,13.6106096241458,14.8746912394741,13.6449265473433,14.64239711736,14.7976948924731,1.98703823486964,6.15245201190313,5.31728597482045,3.30150789022446,1.72699732780456,1.37896013259888
"76",76,21,5,0.578947368421053,0.421052631578947,0.2,0.421052631578947,"MOHK_1",2004,"MOHK",1,1101.22933333333,888.563333333333,340.515,1109.07066666667,NA,NA,16.8153606170494,14.0593456719818,16.000582013691,13.9103954027125,15.4827340746842,15.047315188172,2.65101681152979,4.87239718437194,4.21713842948278,3.10494037866592,2.75224508047104,1.40044438838959
"77",77,22,5,0.388888888888889,0.235294117647059,0.133333333333333,0.611111111111111,"MOHK_2",2004,"MOHK",2,423.417333333333,1721.83766666667,1576.098,661.782,NA,NA,16.8153606170494,14.0593456719818,16.000582013691,13.9103954027125,15.4827340746842,15.047315188172,2.65101681152979,4.87239718437194,4.21713842948278,3.10494037866592,2.75224508047104,1.40044438838959
"78",78,23,5,0.318181818181818,0.181818181818182,0.142857142857143,0.681818181818182,"NAPL_1",2004,"NAPL",1,745.010666666667,773.380666666667,51.888,0,0,NA,16.6590025188917,13.7116821460563,15.9453929025957,13.5226593576348,15.1379521520147,14.9358938172043,1.89531763394674,6.02368195851644,4.79858473936716,5.07618963718414,1.70112910270691,1.20153725147247
"79",79,24,5,0.277777777777778,0.142857142857143,0.125,0.722222222222222,"NAPL_2",2004,"NAPL",2,800.686333333333,1136.98333333333,84.5113333333333,0,0,NA,16.6590025188917,13.7116821460563,15.9453929025957,13.5226593576348,15.1379521520147,14.9358938172043,1.89531763394674,6.02368195851644,4.79858473936716,5.07618963718414,1.70112910270691,1.20153725147247
"80",80,25,5,0.266666666666667,0.0714285714285714,0.176470588235294,0.733333333333333,"NAPL_3",2004,"NAPL",3,488.005,394.257333333333,7.76033333333333,0,0,NA,16.6590025188917,13.7116821460563,15.9453929025957,13.5226593576348,15.1379521520147,14.9358938172043,1.89531763394674,6.02368195851644,4.79858473936716,5.07618963718414,1.70112910270691,1.20153725147247
"81",81,26,5,0.357142857142857,0.214285714285714,0.133333333333333,0.642857142857143,"NAPL_4",2004,"NAPL",4,176.246666666667,434.14,0.193333333333333,0,0,NA,16.6590025188917,13.7116821460563,15.9453929025957,13.5226593576348,15.1379521520147,14.9358938172043,1.89531763394674,6.02368195851644,4.79858473936716,5.07618963718414,1.70112910270691,1.20153725147247
"82",82,27,5,0.277777777777778,0.133333333333333,0.125,0.722222222222222,"NAPL_5",2004,"NAPL",5,144.511,1027.53,59.7273333333333,2.35533333333333,0,NA,16.6590025188917,13.7116821460563,15.9453929025957,13.5226593576348,15.1379521520147,14.9358938172043,1.89531763394674,6.02368195851644,4.79858473936716,5.07618963718414,1.70112910270691,1.20153725147247
"83",83,28,5,0.333333333333333,0.230769230769231,0.0769230769230769,0.666666666666667,"NAPL_6",2004,"NAPL",6,275.039666666667,293.302333333333,0.386666666666667,0,NA,NA,16.6590025188917,13.7116821460563,15.9453929025957,13.5226593576348,15.1379521520147,14.9358938172043,1.89531763394674,6.02368195851644,4.79858473936716,5.07618963718414,1.70112910270691,1.20153725147247
"84",84,29,5,0.352941176470588,0.1875,0.166666666666667,0.647058823529412,"NAPL_7",2004,"NAPL",7,808.904,595.595666666667,74.9756666666667,0,0,NA,16.6590025188917,13.7116821460563,15.9453929025957,13.5226593576348,15.1379521520147,14.9358938172043,1.89531763394674,6.02368195851644,4.79858473936716,5.07618963718414,1.70112910270691,1.20153725147247
"85",85,30,5,0.277777777777778,0.176470588235294,0.105263157894737,0.722222222222222,"NAPL_8",2004,"NAPL",8,322.296,292.142333333333,16.4083333333333,0.386666666666667,0.193333333333333,NA,16.6590025188917,13.7116821460563,15.9453929025957,13.5226593576348,15.1379521520147,14.9358938172043,1.89531763394674,6.02368195851644,4.79858473936716,5.07618963718414,1.70112910270691,1.20153725147247
"86",86,1,6,0.473684210526316,0.263157894736842,0.210526315789474,0.526315789473684,"ABUR_1",2005,"ABUR",1,312.188666666667,76.7946666666667,54.208,736.161,1200.29666666667,NA,15.0572637002072,13.8596575580386,16.2185891901226,13.8153043849658,15.2241137585569,13.1596016142666,7.4373543659846,8.07255625724792,2.65101681152979,4.87239718437194,4.21713842948278,3.10494037866592
"87",87,2,6,0.6,0.2,0.4,0.4,"ABUR_2",2005,"ABUR",2,41.3503333333333,0,0,33.511,0.193333333333333,NA,15.0572637002072,13.8596575580386,16.2185891901226,13.8153043849658,15.2241137585569,13.1596016142666,7.4373543659846,8.07255625724792,2.65101681152979,4.87239718437194,4.21713842948278,3.10494037866592
"88",88,3,6,0.625,0.3125,0.3125,0.375,"AQUE_1",2005,"AQUE",1,525.366,527.844,1304.85433333333,1132.888,228.600333333333,NA,15.419953951534,13.7902536646816,16.4036309215449,13.5644194191344,15.5012533287812,12.2438947709594,5.38897540171941,9.03541028499602,1.93088181813558,5.91984206438065,5.24064519008001,5.67468034227689
"89",89,4,6,0.421052631578947,0.294117647058824,0.125,0.578947368421053,"AQUE_2",2005,"AQUE",2,340.515,560.230333333333,1293.034,803.842,111.738,NA,15.419953951534,13.7902536646816,16.4036309215449,13.5644194191344,15.5012533287812,12.2438947709594,5.38897540171941,9.03541028499602,1.93088181813558,5.91984206438065,5.24064519008001,5.67468034227689
"90",90,5,6,0.333333333333333,0.235294117647059,0.0714285714285714,0.666666666666667,"AQUE_3",2005,"AQUE",3,83.237,659.41,1124.24,1506.914,45.6743333333333,NA,15.419953951534,13.7902536646816,16.4036309215449,13.5644194191344,15.5012533287812,12.2438947709594,5.38897540171941,9.03541028499602,1.93088181813558,5.91984206438065,5.24064519008001,5.67468034227689
