"reach","urbanized","restored","water","observation_date","observer_intitials","transect","location","time_start","time_end","common_name","scientific_name","quantity","surveys_notes","surveys_observation_notes"
"Tonto","NonUrban","NotRestored","Perennial",2012-03-25,"AEB,WLC","midstream","north","09:49:00","10:21:00",NA,NA,NA,"Time for this survey were recorded for the whole transect, not for each plot",NA
"Tonto","NonUrban","NotRestored","Perennial",2012-03-25,"AEB,WLC","midstream","center","09:49:00","10:21:00","Common Side-blotched Lizard","Uta stansburiana",1,"Time for this survey were recorded for the whole transect, not for each plot",NA
"Tonto","NonUrban","NotRestored","Perennial",2012-03-25,"AEB,WLC","downstream","center","10:28:00","10:52:00",NA,NA,NA,"Time for this survey were recorded for the whole transect, not for each plot",NA
"Tonto","NonUrban","NotRestored","Perennial",2012-03-25,"AEB,WLC","downstream","north","10:28:00","10:52:00",NA,NA,NA,"Time for this survey were recorded for the whole transect, not for each plot",NA
"Tonto","NonUrban","NotRestored","Perennial",2012-03-25,"AEB,WLC","downstream","south","10:28:00","10:52:00",NA,NA,NA,"Time for this survey were recorded for the whole transect, not for each plot",NA
"Rio","Urban","Restored","Perennial",2012-04-08,"AEB,WLC","downstream","center","08:22:00","08:29:00",NA,NA,NA,NA,NA
"Rio","Urban","Restored","Perennial",2012-04-08,"AEB,WLC","downstream","south","08:34:00","08:42:00","Tiger Whiptail ","Aspidoscelis tigris",1,NA,NA
"Rio","Urban","Restored","Perennial",2012-04-08,"AEB,WLC","downstream","north","08:52:00","08:58:00",NA,NA,NA,NA,NA
"Rio","Urban","Restored","Perennial",2012-04-08,"AEB,WLC","midstream","north","09:04:00","09:13:00","Western Banded Gecko","Coleonyx variegatus",1,NA,NA
"Rio","Urban","Restored","Perennial",2012-04-08,"AEB,WLC","midstream","north","09:04:00","09:13:00","Unidentified Lizard",NA,1,NA,NA
"Rio","Urban","Restored","Perennial",2012-04-08,"AEB,WLC","midstream","center","09:17:00","09:26:00","Unidentified Lizard",NA,1,NA,NA
"Rio","Urban","Restored","Perennial",2012-04-08,"AEB,WLC","midstream","south","09:29:00","09:37:00",NA,NA,NA,NA,NA
"Rio","Urban","Restored","Perennial",2012-04-08,"AEB,WLC","upstream","south","09:44:00","09:53:00",NA,NA,NA,NA,NA
"Rio","Urban","Restored","Perennial",2012-04-08,"AEB,WLC","upstream","center","09:55:00","09:59:00",NA,NA,NA,NA,NA
"Rio","Urban","Restored","Perennial",2012-04-08,"AEB,WLC","upstream","north","10:01:00","10:05:00",NA,NA,NA,NA,NA
"Ave35","Urban","NotRestored","Ephemeral",2012-04-15,"AEB,WLC","downstream","south","07:44:00","07:48:00",NA,NA,NA,NA,NA
"Ave35","Urban","NotRestored","Ephemeral",2012-04-15,"AEB,WLC","downstream","center","07:49:00","07:57:00",NA,NA,NA,NA,NA
"Ave35","Urban","NotRestored","Ephemeral",2012-04-15,"AEB,WLC","downstream","north","07:58:00","08:09:00","Woodhouse’s Toad","Anaxyrus woodhousii",1,NA,NA
"Ave35","Urban","NotRestored","Ephemeral",2012-04-15,"AEB,WLC","midstream","north","08:17:00","08:25:00",NA,NA,NA,NA,NA
"Ave35","Urban","NotRestored","Ephemeral",2012-04-15,"AEB,WLC","midstream","center","08:27:00","08:34:00","Common Side-blotched Lizard","Uta stansburiana",1,NA,"Photo"
"Ave35","Urban","NotRestored","Ephemeral",2012-04-15,"AEB,WLC","midstream","south","08:36:00","08:47:00",NA,NA,NA,NA,NA
"Ave35","Urban","NotRestored","Ephemeral",2012-04-15,"AEB,WLC","upstream","south","09:02:00","09:05:00",NA,NA,NA,NA,NA
"Ave35","Urban","NotRestored","Ephemeral",2012-04-15,"AEB,WLC","upstream","center","09:08:00","09:15:00","Unidentified Lizard",NA,1,NA,"Probably a UROR"
"Ave35","Urban","NotRestored","Ephemeral",2012-04-15,"AEB,WLC","upstream","north","09:19:00","09:26:00",NA,NA,NA,NA,NA
"BM","Urban","Restored","Perennial",2012-04-22,"AEB,WLC","upstream","center","08:03:00","08:08:00",NA,NA,NA,NA,NA
"BM","Urban","Restored","Perennial",2012-04-22,"AEB,WLC","upstream","north","08:14:00","08:20:00",NA,NA,NA,NA,NA
"BM","Urban","Restored","Perennial",2012-04-22,"AEB,WLC","midstream","north","08:24:00","08:26:00",NA,NA,NA,NA,NA
"BM","Urban","Restored","Perennial",2012-04-22,"AEB,WLC","midstream","center","08:32:00","08:35:00",NA,NA,NA,NA,NA
"BM","Urban","Restored","Perennial",2012-04-22,"AEB,WLC","downstream","center","08:42:00","08:46:00",NA,NA,NA,NA,NA
"BM","Urban","Restored","Perennial",2012-04-22,"AEB,WLC","downstream","north","08:49:00","08:51:00",NA,NA,NA,NA,NA
"BM","Urban","Restored","Perennial",2012-04-22,"AEB,WLC","upstream","south","09:59:00","10:04:00",NA,NA,NA,NA,NA
"BM","Urban","Restored","Perennial",2012-04-22,"AEB,WLC","midstream","south","10:08:00","10:12:00",NA,NA,NA,NA,NA
"BM","Urban","Restored","Perennial",2012-04-22,"AEB,WLC","downstream","south","10:14:00","10:21:00","Unidentified Lizard",NA,2,NA,NA
"Price","Urban","NotRestored","Perennial",2012-04-29,"ABS,AEB,HLB","upstream","north","09:12:00","09:17:00",NA,NA,NA,NA,NA
"Price","Urban","NotRestored","Perennial",2012-04-29,"ABS,AEB,HLB","upstream","center","09:21:00","09:26:00",NA,NA,NA,NA,NA
"Price","Urban","NotRestored","Perennial",2012-04-29,"ABS,AEB,HLB","upstream","south","09:27:00","09:34:00",NA,NA,NA,NA,NA
"Price","Urban","NotRestored","Perennial",2012-04-29,"ABS,AEB,HLB","midstream","south","09:37:00","09:42:00","Common Side-blotched Lizard","Uta stansburiana",1,NA,NA
"Price","Urban","NotRestored","Perennial",2012-04-29,"ABS,AEB,HLB","midstream","center","09:44:00","09:49:00",NA,NA,NA,NA,NA
"Price","Urban","NotRestored","Perennial",2012-04-29,"ABS,AEB,HLB","midstream","north","09:52:00","09:56:00",NA,NA,NA,NA,NA
"Price","Urban","NotRestored","Perennial",2012-04-29,"ABS,AEB,HLB","downstream","south","10:06:00","10:10:00","Unidentified Lizard",NA,1,NA,NA
"Price","Urban","NotRestored","Perennial",2012-04-29,"ABS,AEB,HLB","downstream","center","10:11:00","10:15:00",NA,NA,NA,NA,NA
"Price","Urban","NotRestored","Perennial",2012-04-29,"ABS,AEB,HLB","downstream","north","10:18:00","10:23:00",NA,NA,NA,NA,NA
"BM","Urban","Restored","Perennial",2012-06-09,"MSH,RCC","upstream","south","10:30:00","10:40:00","Unidentified Lizard",NA,1,NA,"possibly UTST hatchling"
"BM","Urban","Restored","Perennial",2012-06-09,"MSH,RCC","midstream","south","10:48:00","10:55:00",NA,NA,NA,NA,NA
"BM","Urban","Restored","Perennial",2012-06-09,"MSH,RCC","downstream","south","10:57:00","11:06:00",NA,NA,NA,NA,NA
"BM","Urban","Restored","Perennial",2012-06-09,"MSH,RCC","downstream","north","11:20:00","11:30:00","Common Side-blotched Lizard","Uta stansburiana",2,NA,"Both were hatchlings"
"BM","Urban","Restored","Perennial",2012-06-09,"MSH,RCC","downstream","center","11:36:00","11:45:00",NA,NA,NA,NA,NA
"BM","Urban","Restored","Perennial",2012-06-09,"MSH,RCC","midstream","center","11:47:00","11:55:00",NA,NA,NA,NA,NA
"BM","Urban","Restored","Perennial",2012-06-09,"MSH,RCC","upstream","center","12:00:00","12:04:00",NA,NA,NA,NA,NA
"BM","Urban","Restored","Perennial",2012-06-09,"MSH,RCC","upstream","north","12:09:00","12:14:00",NA,NA,NA,NA,NA
"BM","Urban","Restored","Perennial",2012-06-09,"MSH,RCC","midstream","north","12:17:00","12:22:00",NA,NA,NA,NA,NA
"Priest","Urban","NotRestored","Perennial",2012-06-10,"MSH,RCC","downstream","south","09:16:00","09:29:00","Unidentified Lizard",NA,1,NA,NA
"Priest","Urban","NotRestored","Perennial",2012-06-10,"MSH,RCC","midstream","south","09:39:00","09:50:00","Unidentified Lizard",NA,1,NA,NA
"Priest","Urban","NotRestored","Perennial",2012-06-10,"MSH,RCC","midstream","south","09:39:00","09:50:00","Unidentified Amphibian",NA,1,NA,"Plop was heard"
"Priest","Urban","NotRestored","Perennial",2012-06-10,"MSH,RCC","upstream","south","10:02:00","10:12:00",NA,NA,NA,NA,NA
"Priest","Urban","NotRestored","Perennial",2012-06-10,"MSH,RCC","upstream","center","10:18:00","10:28:00",NA,NA,NA,NA,NA
"Priest","Urban","NotRestored","Perennial",2012-06-10,"MSH,RCC","downstream","north","11:01:00","11:11:00",NA,NA,NA,NA,NA
"Priest","Urban","NotRestored","Perennial",2012-06-10,"MSH,RCC","downstream","center","11:17:00","11:24:00",NA,NA,NA,NA,NA
"Priest","Urban","NotRestored","Perennial",2012-06-10,"MSH,RCC","midstream","center","11:34:00","11:42:00",NA,NA,NA,NA,NA
"Priest","Urban","NotRestored","Perennial",2012-06-10,"MSH,RCC","midstream","north","11:51:00","11:57:00",NA,NA,NA,NA,NA
"Priest","Urban","NotRestored","Perennial",2012-06-10,"MSH,RCC","upstream","north","12:03:00","12:09:00",NA,NA,NA,NA,NA
"Tonto","NonUrban","NotRestored","Perennial",2012-06-11,"MSH,RCC","downstream","south","08:25:00","08:43:00","Ornate Tree Lizard","Urosaurus ornata",1,NA,NA
"Tonto","NonUrban","NotRestored","Perennial",2012-06-11,"MSH,RCC","downstream","center","08:48:00","08:59:00",NA,NA,NA,NA,NA
"Tonto","NonUrban","NotRestored","Perennial",2012-06-11,"MSH,RCC","downstream","north","09:02:00","09:15:00","Unidentified Toad",NA,4,NA,"Bufo sp."
"Tonto","NonUrban","NotRestored","Perennial",2012-06-11,"MSH,RCC","midstream","north","09:26:00","09:36:00","Unidentified Snake Skin",NA,1,NA,NA
"Tonto","NonUrban","NotRestored","Perennial",2012-06-11,"MSH,RCC","midstream","north","09:26:00","09:36:00","Zebra-tailed Lizard","Callisaurus draconoides",1,NA,NA
"Tonto","NonUrban","NotRestored","Perennial",2012-06-11,"MSH,RCC","midstream","center","09:47:00","10:09:00","Tiger Whiptail ","Aspidoscelis tigris",1,NA,NA
"Tonto","NonUrban","NotRestored","Perennial",2012-06-11,"MSH,RCC","midstream","center","09:47:00","10:09:00","Common Side-blotched Lizard","Uta stansburiana",2,NA,NA
"Tonto","NonUrban","NotRestored","Perennial",2012-06-11,"MSH,RCC","midstream","south","10:23:00","10:33:00",NA,NA,NA,NA,NA
"Tonto","NonUrban","NotRestored","Perennial",2012-06-11,"MSH,RCC","upstream","north","10:45:00","10:56:00",NA,NA,NA,NA,NA
"Tonto","NonUrban","NotRestored","Perennial",2012-06-11,"MSH,RCC","upstream","center","11:00:00","11:08:00",NA,NA,NA,NA,NA
"Tonto","NonUrban","NotRestored","Perennial",2012-06-11,"MSH,RCC","upstream","south","11:10:00","11:26:00","Ornate Tree Lizard","Urosaurus ornata",1,NA,NA
"Tonto","NonUrban","NotRestored","Perennial",2012-06-11,"MSH,RCC","upstream","south","11:10:00","11:26:00","Long-tailed Brush Lizard","Urosaurus graciosus",1,NA,NA
"Price","Urban","NotRestored","Perennial",2012-06-12,"MSH,RCC","upstream","south","08:38:00","09:01:00","Common Side-blotched Lizard","Uta stansburiana",1,NA,NA
"Price","Urban","NotRestored","Perennial",2012-06-12,"MSH,RCC","upstream","south","08:38:00","09:01:00","Ornate Tree Lizard","Urosaurus ornata",3,NA,NA
"Price","Urban","NotRestored","Perennial",2012-06-12,"MSH,RCC","upstream","center","09:05:00","09:20:00","Unidentified Lizard",NA,1,NA,"Most likely ASTI, UTST, UROR"
"Price","Urban","NotRestored","Perennial",2012-06-12,"MSH,RCC","upstream","center","09:05:00","09:20:00","Ornate Tree Lizard","Urosaurus ornata",1,NA,NA
"Price","Urban","NotRestored","Perennial",2012-06-12,"MSH,RCC","upstream","north","09:28:00","09:52:00","Unidentified Lizard",NA,1,NA,"Most likely ASTI, UTST, UROR"
"Price","Urban","NotRestored","Perennial",2012-06-12,"MSH,RCC","midstream","north","10:02:00","10:13:00",NA,NA,NA,NA,NA
"Price","Urban","NotRestored","Perennial",2012-06-12,"MSH,RCC","midstream","center","10:20:00","10:38:00","Tiger Whiptail ","Aspidoscelis tigris",1,NA,NA
"Price","Urban","NotRestored","Perennial",2012-06-12,"MSH,RCC","midstream","south","10:45:00","10:56:00",NA,NA,NA,NA,NA
"Price","Urban","NotRestored","Perennial",2012-06-12,"MSH,RCC","downstream","north","11:07:00","11:18:00","Unidentified Amphibian",NA,1,NA,"Heard plop but no eep. LICA calls also heard."
"Price","Urban","NotRestored","Perennial",2012-06-12,"MSH,RCC","downstream","center","11:24:00","11:36:00",NA,NA,NA,NA,NA
"Price","Urban","NotRestored","Perennial",2012-06-12,"MSH,RCC","downstream","south","11:44:00","12:00:00","Unidentified Lizard",NA,2,NA,"Most likely ASTI, UTST, UROR"
"Rio","Urban","Restored","Perennial",2012-06-13,"MSH,RCC","downstream","north","09:35:00","09:55:00","Ornate Tree Lizard","Urosaurus ornata",3,NA,NA
"Rio","Urban","Restored","Perennial",2012-06-13,"MSH,RCC","midstream","north","10:15:00","10:36:00","Unidentified Lizard",NA,1,NA,NA
"Rio","Urban","Restored","Perennial",2012-06-13,"MSH,RCC","midstream","north","10:15:00","10:36:00","Ornate Tree Lizard","Urosaurus ornata",1,NA,NA
"Rio","Urban","Restored","Perennial",2012-06-13,"MSH,RCC","upstream","north","10:59:00","11:16:00","Unidentified Lizard",NA,2,NA,NA
"Rio","Urban","Restored","Perennial",2012-06-13,"MSH,RCC","upstream","center","11:21:00","11:36:00",NA,NA,NA,NA,NA
"Rio","Urban","Restored","Perennial",2012-06-13,"MSH,RCC","upstream","south","11:41:00","11:59:00",NA,NA,NA,NA,NA
"Rio","Urban","Restored","Perennial",2012-06-13,"MSH,RCC","downstream","south","13:01:00","13:06:00",NA,NA,NA,NA,NA
"Rio","Urban","Restored","Perennial",2012-06-13,"MSH,RCC","downstream","center","13:11:00","13:23:00",NA,NA,NA,"The center plot of the downstream transect has thick vegetation making it difficult to traverse.",NA
"Rio","Urban","Restored","Perennial",2012-06-13,"MSH,RCC","midstream","south","13:40:00","13:52:00",NA,NA,NA,NA,NA
"Rio","Urban","Restored","Perennial",2012-06-13,"MSH,RCC","midstream","center","14:07:00","14:16:00",NA,NA,NA,NA,NA
"Ave35","Urban","NotRestored","Ephemeral",2012-06-14,"MSH,RCC","upstream","north","08:12:00","08:41:00","Unidentified Lizard",NA,1,NA,"Possible UTST"
"Ave35","Urban","NotRestored","Ephemeral",2012-06-14,"MSH,RCC","upstream","center","08:46:00","09:01:00",NA,NA,NA,NA,NA
"Ave35","Urban","NotRestored","Ephemeral",2012-06-14,"MSH,RCC","upstream","south","09:05:00","09:22:00","Tiger Whiptail ","Aspidoscelis tigris",1,NA,NA
"Ave35","Urban","NotRestored","Ephemeral",2012-06-14,"MSH,RCC","upstream","south","09:05:00","09:22:00","Unidentified Lizard",NA,1,NA,"Possible UTST"
"Ave35","Urban","NotRestored","Ephemeral",2012-06-14,"MSH,RCC","midstream","south","09:29:00","09:42:00",NA,NA,NA,NA,NA
"Ave35","Urban","NotRestored","Ephemeral",2012-06-14,"MSH,RCC","midstream","center","09:49:00","09:57:00",NA,NA,NA,NA,NA
"Ave35","Urban","NotRestored","Ephemeral",2012-06-14,"MSH,RCC","midstream","north","10:06:00","10:19:00","Unidentified Lizard",NA,1,NA,"Possible UTST"
"Ave35","Urban","NotRestored","Ephemeral",2012-06-14,"MSH,RCC","downstream","north","10:36:00","10:57:00","Unidentified Lizard",NA,1,NA,NA
"Ave35","Urban","NotRestored","Ephemeral",2012-06-14,"MSH,RCC","downstream","north","10:36:00","10:57:00","Common Side-blotched Lizard","Uta stansburiana",1,NA,NA
"Ave35","Urban","NotRestored","Ephemeral",2012-06-14,"MSH,RCC","downstream","center","11:01:00","11:12:00",NA,NA,NA,NA,NA
"Ave35","Urban","NotRestored","Ephemeral",2012-06-14,"MSH,RCC","downstream","south","11:17:00","11:27:00","Unidentified Lizard",NA,1,NA,NA
"Ave67","Urban","NotRestored","Ephemeral",2013-03-11,"BTR,MJB","upstream","south","08:58:00","09:13:00",NA,NA,NA,NA,NA
"Ave67","Urban","NotRestored","Ephemeral",2013-03-11,"BTR,MJB","upstream","center","09:20:00","09:24:00",NA,NA,NA,NA,NA
"Ave67","Urban","NotRestored","Ephemeral",2013-03-11,"BTR,MJB","upstream","north","09:32:00","09:39:00",NA,NA,NA,NA,NA
"Ave67","Urban","NotRestored","Ephemeral",2013-03-11,"BTR,MJB","midstream","north","09:57:00","10:08:00",NA,NA,NA,NA,NA
"Ave67","Urban","NotRestored","Ephemeral",2013-03-11,"BTR,MJB","midstream","center","10:11:00","10:20:00",NA,NA,NA,NA,NA
"Ave67","Urban","NotRestored","Ephemeral",2013-03-11,"BTR,MJB","midstream","south","10:34:00","10:43:00",NA,NA,NA,NA,NA
"Ave67","Urban","NotRestored","Ephemeral",2013-03-11,"BTR,MJB","downstream","south","10:51:00","10:55:00",NA,NA,NA,NA,NA
"Ave67","Urban","NotRestored","Ephemeral",2013-03-11,"BTR,MJB","downstream","center","10:59:00","11:22:00","Common Side-blotched Lizard","Uta stansburiana",1,"DWN_C: the plot is a big dead brush pile.",NA
"Ave67","Urban","NotRestored","Ephemeral",2013-03-11,"BTR,MJB","downstream","north","11:26:00","11:40:00",NA,NA,NA,NA,NA
"Ave35","Urban","NotRestored","Ephemeral",2013-03-12,"BTR,MJB","downstream","north","09:29:00","09:39:00",NA,NA,NA,"DWN_N: ground is saturated with water",NA
"Ave35","Urban","NotRestored","Ephemeral",2013-03-12,"BTR,MJB","downstream","center","09:41:00","09:51:00",NA,NA,NA,"DWN_C: ground is saturated with water, and running water present in the last 2.5m at southern end.",NA
"Ave35","Urban","NotRestored","Ephemeral",2013-03-12,"BTR,MJB","midstream","north","10:01:00","10:13:00",NA,NA,NA,"MID_N: plot in rip rap; 2m at southern end where ground is saturated with water",NA
"Ave35","Urban","NotRestored","Ephemeral",2013-03-12,"BTR,MJB","upstream","north","10:19:00","10:34:00","Unidentified Lizard",NA,1,NA,"potential UTST"
"Ave35","Urban","NotRestored","Ephemeral",2013-03-12,"BTR,MJB","upstream","south","10:49:00","10:58:00","Common Side-blotched Lizard","Uta stansburiana",2,NA,NA
"Ave35","Urban","NotRestored","Ephemeral",2013-03-12,"BTR,MJB","upstream","center","11:03:00","11:23:00","Woodhouse’s Toad","Anaxyrus woodhousii",1," UP_C: water in the last 3.5m of northern end of transect","Squeaking when handled. Found on woody debris located underneath layed down reeds/cattails.  Pix IMG_3061 and IMG_3065"
"Ave35","Urban","NotRestored","Ephemeral",2013-03-12,"BTR,MJB","midstream","south","11:47:00","11:54:00",NA,NA,NA,"MID_S: ground saturated with water underneath shrubs",NA
"Ave35","Urban","NotRestored","Ephemeral",2013-03-12,"BTR,MJB","midstream","center","11:57:00","12:01:00",NA,NA,NA,NA,NA
"Ave35","Urban","NotRestored","Ephemeral",2013-03-12,"BTR,MJB","downstream","south","12:04:00","12:10:00",NA,NA,NA,NA,NA
"Rio","Urban","Restored","Perennial",2013-03-13,"BTR,MJB","downstream","south","09:06:00","09:17:00",NA,NA,NA,"DWN_S:  just North of plot, in water, saw 3 bullfrogs and 1 unkown toad (saw paratoid gland, eye w/ horizontal pupil, light colored)",NA
"Rio","Urban","Restored","Perennial",2013-03-13,"BTR,MJB","downstream","center","09:59:00","10:14:00",NA,NA,NA,"DWN_C: all ground saturated with water, water puddled approx 6m of transect",NA
"Rio","Urban","Restored","Perennial",2013-03-13,"BTR,MJB","midstream","south","10:23:00","10:31:00",NA,NA,NA,"MID_S: last 2m in puddled water",NA
"Rio","Urban","Restored","Perennial",2013-03-13,"BTR,MJB","upstream","south","10:41:00","10:46:00",NA,NA,NA,NA,NA
"Rio","Urban","Restored","Perennial",2013-03-13,"BTR,MJB","upstream","center","10:50:00","10:59:00",NA,NA,NA,"UP_C: ground is wet",NA
"Rio","Urban","Restored","Perennial",2013-03-13,"BTR,MJB","upstream","north","11:04:00","11:12:00",NA,NA,NA,"UP_N:  ASTI near South end of plot",NA
"Rio","Urban","Restored","Perennial",2013-03-13,"BTR,MJB","midstream","north","11:26:00","11:33:00",NA,NA,NA,NA,NA
"Rio","Urban","Restored","Perennial",2013-03-13,"BTR,MJB","midstream","center","11:38:00","11:48:00","Tiger Whiptail ","Aspidoscelis tigris",1,NA,NA
"Rio","Urban","Restored","Perennial",2013-03-13,"BTR,MJB","downstream","north","11:59:00","12:10:00",NA,NA,NA,"DWN_N:  Unk lizard (maybe ASTI) near South end plot",NA
"BM","Urban","Restored","Perennial",2013-03-14,"BTR,MJB","downstream","north","09:23:00","09:30:00",NA,NA,NA,NA,NA
"BM","Urban","Restored","Perennial",2013-03-14,"BTR,MJB","midstream","north","09:37:00","09:42:00",NA,NA,NA,NA,NA
"BM","Urban","Restored","Perennial",2013-03-14,"BTR,MJB","upstream","north","09:48:00","09:57:00",NA,NA,NA,NA,NA
"BM","Urban","Restored","Perennial",2013-03-14,"BTR,MJB","upstream","center","10:04:00","10:10:00",NA,NA,NA,NA,NA
"BM","Urban","Restored","Perennial",2013-03-14,"BTR,MJB","midstream","center","10:21:00","10:29:00",NA,NA,NA,NA,NA
"BM","Urban","Restored","Perennial",2013-03-14,"BTR,MJB","downstream","center","10:40:00","10:59:00","Ornate Tree Lizard","Urosaurus ornata",1,NA,"in willow"
"BM","Urban","Restored","Perennial",2013-03-14,"BTR,MJB","downstream","south","11:22:00","11:31:00",NA,NA,NA,NA,NA
"BM","Urban","Restored","Perennial",2013-03-14,"BTR,MJB","midstream","south","11:47:00","11:53:00",NA,NA,NA,NA,NA
"BM","Urban","Restored","Perennial",2013-03-14,"BTR,MJB","upstream","south","12:07:00","12:15:00","Tiger Whiptail ","Aspidoscelis tigris",1," UP_S: this plot was NOT recently bulldozed.",NA
"Priest","Urban","NotRestored","Perennial",2013-03-15,"BTR,MJB","midstream","north","09:26:00","09:38:00",NA,NA,NA,"MID_N: approx 2m of ground is saturated with water and some puddled water present in plot",NA
"Priest","Urban","NotRestored","Perennial",2013-03-15,"BTR,MJB","upstream","north","09:47:00","09:56:00","Tiger Whiptail ","Aspidoscelis tigris",1,NA,NA
"Priest","Urban","NotRestored","Perennial",2013-03-15,"BTR,MJB","midstream","center","10:07:00","10:20:00",NA,NA,NA,"MID_C: ground is saturated with water but not puddled",NA
"Priest","Urban","NotRestored","Perennial",2013-03-15,"BTR,MJB","downstream","center","10:27:00","10:34:00",NA,NA,NA,"DWN_C: ground is saturated with water for approx 2m at northern end",NA
"Priest","Urban","NotRestored","Perennial",2013-03-15,"BTR,MJB","downstream","north","10:38:00","10:51:00","Tiger Whiptail ","Aspidoscelis tigris",1,"DWN_N: ground saturated and puddled for approx 5m of southern end",NA
"Priest","Urban","NotRestored","Perennial",2013-03-15,"BTR,MJB","downstream","south","11:07:00","11:20:00",NA,NA,NA,"DWN_S: ground is saturated with some puddled water for approx 5m at northern end.",NA
"Priest","Urban","NotRestored","Perennial",2013-03-15,"BTR,MJB","midstream","south","11:29:00","11:46:00","Common Side-blotched Lizard","Uta stansburiana",2,"MID_S: ground is saturated and puddled for approx 2m at north end of plot",NA
"Priest","Urban","NotRestored","Perennial",2013-03-15,"BTR,MJB","upstream","south","11:54:00","12:02:00",NA,NA,NA,NA,NA
"Priest","Urban","NotRestored","Perennial",2013-03-15,"BTR,MJB","upstream","center","12:03:00","12:13:00",NA,NA,NA,"UP_C: ground is fairly saturated with water; ground completely saturated under rocks",NA
"Price","Urban","NotRestored","Perennial",2013-03-17,"BTR,MJB","upstream","south","09:27:00","09:54:00","Western Banded Gecko","Coleonyx variegatus",1,"UP_S: bark scorpion x4",NA
"Price","Urban","NotRestored","Perennial",2013-03-17,"BTR,MJB","upstream","south","09:27:00","09:54:00","Tiger Whiptail ","Aspidoscelis tigris",2,"UP_S: bark scorpion x4",NA
"Price","Urban","NotRestored","Perennial",2013-03-17,"BTR,MJB","upstream","center","09:57:00","10:13:00","Common Side-blotched Lizard","Uta stansburiana",1,"UP_C: bark scorpion x2",NA
"Price","Urban","NotRestored","Perennial",2013-03-17,"BTR,MJB","upstream","north","10:25:00","10:44:00",NA,NA,NA,NA,NA
"Price","Urban","NotRestored","Perennial",2013-03-17,"BTR,MJB","midstream","north","10:56:00","11:09:00",NA,NA,NA,"MID_N: ground underneath rocks is saturated with water",NA
"Price","Urban","NotRestored","Perennial",2013-03-17,"BTR,MJB","midstream","center","11:17:00","11:41:00","Unidentified Lizard",NA,1,"MID_C: approx 1m of plot in pooled/slightly running water, plus approx 2m of ground saturated with water; at least 4 bark scorpion in blanket","not a gecko"
"Price","Urban","NotRestored","Perennial",2013-03-17,"BTR,MJB","midstream","center","11:17:00","11:41:00","Western Banded Gecko","Coleonyx variegatus",1,"MID_C: approx 1m of plot in pooled/slightly running water, plus approx 2m of ground saturated with water; at least 4 bark scorpion in blanket",NA
"Price","Urban","NotRestored","Perennial",2013-03-17,"BTR,MJB","midstream","south","11:52:00","12:05:00","Tiger Whiptail ","Aspidoscelis tigris",1,NA,NA
"Price","Urban","NotRestored","Perennial",2013-03-17,"BTR,MJB","downstream","north","12:11:00","12:22:00",NA,NA,NA,NA,NA
